date,weekend,total,busrate,subwayrate,bus,subway,temperature,rain,wind_speed,humidity
2021-01-01,주말,60440,68.5,31.5,41401,19039,-4.2,0.0,2.0,64.0
2021-01-02,주말,89097,69.6,30.4,62012,27085,-5.0,0.0,2.6,38.5
2021-01-03,주말,71162,69.2,30.8,49244,21918,-5.6,0.0,2.0,45.0
2021-01-04,평일,157028,71.3,28.7,111961,45067,-3.5,0.0,1.7,51.4
2021-01-05,평일,158523,70.9,29.1,112393,46130,-5.5,0.0,2.9,52.8
2021-01-06,평일,190591,70.5,29.5,134367,56224,-7.4,2.3,2.4,54.6
2021-01-07,평일,179286,70.8,29.2,126934,52352,-14.5,0.0,4.1,49.9
2021-01-08,평일,171098,70.8,29.2,121137,49961,-14.9,0.0,3.3,44.0
2021-01-09,주말,112808,70.0,30.0,78966,33842,-12.2,0.0,2.6,46.3
2021-01-10,주말,78574,69.5,30.5,54609,23965,-7.7,0.0,1.3,54.4
2021-01-11,평일,162543,71.2,28.8,115731,46812,-6.7,0.0,1.9,62.1
2021-01-12,평일,190723,70.8,29.2,135032,55691,-3.9,2.6,1.8,79.5
2021-01-13,평일,174493,71.3,28.7,124414,50079,2.0,0.0,2.4,80.3
2021-01-14,평일,170664,70.9,29.1,121001,49663,1.7,0.0,2.3,46.5
2021-01-15,평일,176560,71.2,28.8,125711,50849,4.5,0.2,3.0,67.4
2021-01-16,주말,121204,70.2,29.8,85085,36119,-4.9,0.0,3.3,59.3
2021-01-17,주말,87086,69.3,30.7,60351,26735,-5.5,0.0,2.3,58.5
2021-01-18,평일,175404,70.9,29.1,124361,51043,-3.8,0.3,3.2,64.3
2021-01-19,평일,173883,71.0,29.0,123457,50426,-6.3,0.0,1.8,37.9
2021-01-20,평일,181413,71.3,28.7,129347,52066,-0.1,0.0,2.2,37.8
2021-01-21,평일,178875,71.2,28.8,127359,51516,4.5,9.2,2.3,64.4
2021-01-22,평일,188761,71.2,28.8,134398,54363,5.5,0.1,1.7,92.9
2021-01-23,주말,134810,70.6,29.4,95176,39634,7.6,0.0,4.2,66.0
2021-01-24,주말,99580,69.9,30.1,69606,29974,7.3,0.0,2.1,63.9
2021-01-25,평일,181435,71.5,28.5,129726,51709,7.9,0.0,1.9,62.0
2021-01-26,평일,180422,71.0,29.0,128100,52322,5.3,1.7,1.9,80.4
2021-01-27,평일,187114,71.3,28.7,133412,53702,1.7,0.0,2.2,47.6
2021-01-28,평일,181702,71.0,29.0,129008,52694,-2.6,2.0,4.0,52.3
2021-01-29,평일,186756,70.8,29.2,132223,54533,-8.8,0.0,3.5,40.0
2021-01-30,주말,136549,70.7,29.3,96540,40009,-1.6,0.5,2.5,60.0
2021-01-31,주말,100371,70.2,29.8,70460,29911,3.2,0.0,2.0,57.0
2021-02-01,평일,184579,71.6,28.4,132159,52420,5.0,0.7,2.7,74.5
2021-02-02,평일,184981,71.3,28.7,131891,53090,-5.6,0.0,3.9,44.1
2021-02-03,평일,197945,71.4,28.6,141333,56612,-3.2,3.4,2.2,64.6
2021-02-04,평일,191856,71.6,28.4,137369,54487,-3.6,0.1,2.5,50.1
2021-02-05,평일,200127,71.5,28.5,143091,57036,1.4,0.0,2.4,71.8
2021-02-06,주말,143071,70.5,29.5,100865,42206,6.8,0.0,2.2,80.4
2021-02-07,주말,104186,70.3,29.7,73243,30943,3.6,0.0,2.9,67.0
2021-02-08,평일,189933,71.4,28.6,135612,54321,-3.1,0.0,3.4,43.6
2021-02-09,평일,195888,71.6,28.4,140256,55632,-0.9,0.0,2.0,51.9
2021-02-10,평일,191878,71.1,28.9,136425,55453,3.4,0.0,2.1,75.1
2021-02-11,주말,91715,69.5,30.5,63742,27973,5.5,0.0,1.3,71.5
2021-02-12,주말,58384,68.3,31.7,39876,18508,6.5,0.0,1.7,60.6
2021-02-13,주말,90423,70.4,29.6,63658,26765,7.6,0.0,1.5,50.6
2021-02-14,주말,94853,70.0,30.0,66397,28456,9.5,0.0,1.7,47.6
2021-02-15,평일,184754,71.5,28.5,132099,52655,1.2,1.4,4.0,65.1
2021-02-16,평일,191679,71.1,28.9,136284,55395,-5.1,1.5,3.2,57.9
2021-02-17,평일,190514,71.3,28.7,135836,54678,-8.3,0.0,5.0,44.1
2021-02-18,평일,193077,71.7,28.3,138436,54641,-5.8,0.0,3.1,44.9
2021-02-19,평일,206139,71.5,28.5,147389,58750,1.6,0.0,2.9,66.9
2021-02-20,주말,155275,71.2,28.8,110556,44719,8.8,0.0,2.1,60.4
2021-02-21,주말,115858,70.6,29.4,81796,34062,10.8,0.0,2.8,66.6
2021-02-22,평일,194329,71.8,28.2,139528,54801,7.8,0.0,2.9,58.3
2021-02-23,평일,197725,72.0,28.0,142362,55363,0.0,0.0,2.9,34.0
2021-02-24,평일,201446,72.1,27.9,145243,56203,2.9,0.0,1.8,33.0
2021-02-25,평일,200683,72.3,27.7,145094,55589,4.2,0.0,1.4,35.1
2021-02-26,평일,212361,71.8,28.2,152475,59886,8.2,0.0,2.3,35.0
2021-02-27,주말,160184,71.3,28.7,114211,45973,9.5,0.0,3.4,48.6
2021-02-28,주말,120253,71.0,29.0,85380,34873,7.8,0.0,2.1,49.0
2021-03-01,주말,97537,69.7,30.3,67983,29554,4.7,67.5,3.5,91.0
2021-03-02,평일,201600,71.8,28.2,144749,56851,2.3,0.1,1.9,75.9
2021-03-03,평일,201789,71.6,28.4,144481,57308,4.4,0.0,1.8,64.4
2021-03-04,평일,203947,71.8,28.2,146434,57513,7.2,0.0,1.9,62.4
2021-03-05,평일,216923,71.5,28.5,155100,61823,9.0,0.0,2.1,70.3
2021-03-06,주말,160426,71.5,28.5,114705,45721,6.6,0.0,3.3,69.5
2021-03-07,주말,120277,71.0,29.0,85397,34880,6.2,0.0,2.8,62.9
2021-03-08,평일,197791,71.6,28.4,141618,56173,7.0,0.0,1.8,60.3
2021-03-09,평일,201875,71.8,28.2,144946,56929,6.6,0.0,2.2,58.5
2021-03-10,평일,204272,71.4,28.6,145850,58422,8.8,0.0,1.8,61.8
2021-03-11,평일,203588,71.8,28.2,146176,57412,10.2,0.0,1.8,50.8
2021-03-12,평일,214582,71.7,28.3,153855,60727,10.5,0.0,2.2,57.0
2021-03-13,주말,163444,71.9,28.1,117516,45928,9.2,0.0,2.2,62.8
2021-03-14,주말,122733,70.9,29.1,87018,35715,9.1,0.0,2.2,71.4
2021-03-15,평일,198426,71.4,28.6,141676,56750,10.6,1.7,2.4,68.8
2021-03-16,평일,202602,71.5,28.5,144860,57742,8.4,1.3,3.2,52.5
2021-03-17,평일,204512,71.9,28.1,147044,57468,8.8,0.0,1.8,44.9
2021-03-18,평일,206842,71.8,28.2,148513,58329,11.7,0.0,1.8,50.1
2021-03-19,평일,219696,71.8,28.2,157742,61954,15.3,0.0,2.2,47.9
2021-03-20,주말,154075,71.2,28.8,109701,44374,9.9,5.1,2.2,74.6
2021-03-21,주말,122445,70.7,29.3,86569,35876,5.8,0.3,4.0,65.9
2021-03-22,평일,199102,71.9,28.1,143154,55948,6.2,0.0,3.2,55.3
2021-03-23,평일,203124,71.5,28.5,145234,57890,9.1,0.0,2.5,63.5
2021-03-24,평일,205609,71.8,28.2,147627,57982,10.8,0.0,2.4,61.5
2021-03-25,평일,208867,71.6,28.4,149549,59318,11.9,0.0,2.2,68.5
2021-03-26,평일,220641,71.8,28.2,158420,62221,12.6,0.0,1.4,58.4
2021-03-27,주말,155934,71.1,28.9,110869,45065,12.1,25.5,2.5,70.9
2021-03-28,주말,117137,70.2,29.8,82230,34907,9.0,9.2,3.3,95.8
2021-03-29,평일,198819,71.4,28.6,141957,56862,10.2,0.2,3.3,62.3
2021-03-30,평일,205120,71.5,28.5,146661,58459,10.8,0.0,2.2,47.3
2021-03-31,평일,208906,71.4,28.6,149159,59747,14.5,0.0,1.8,41.0
2021-04-01,평일,209504,71.4,28.6,149586,59918,17.7,0.0,3.5,33.0
2021-04-02,평일,219680,71.3,28.7,156632,63048,17.8,0.0,3.2,35.6
2021-04-03,주말,145613,70.8,29.2,103094,42519,14.9,56.2,3.1,80.8
